node_id,lat,lon,degree_centrality,betweenness_centrality,closeness_centrality,street_count
442890936,3.8871266,11.4920255,0.000153,0.0087,4e-05,3
442890938,3.8796249,11.4922265,0.000267,0.008427,4.2e-05,4
442890939,3.875757,11.4917215,7.6e-05,0.0,4.1e-05,1
442890940,3.8768622,11.490735,0.000153,0.000155,4.1e-05,3
442890941,3.8753748,11.4919048,0.000229,0.00034,4.1e-05,3
442890947,3.8761403,11.4875716,0.000229,4.9e-05,4.1e-05,3
442890948,3.8751958,11.4874766,0.000229,0.001904,4.1e-05,3
442890953,3.8749014,11.4875327,0.000229,0.001334,4.1e-05,3
442890956,3.8726164,11.487923,0.000229,0.000106,4.2e-05,3
442890958,3.8726293,11.488161,0.000229,9.7e-05,4.2e-05,3
442890959,3.8750337,11.4874597,0.000229,0.00198,4.1e-05,3
442890969,3.8703769,11.4920345,0.000229,0.001369,4.2e-05,3
442890970,3.870293,11.4908882,0.000229,0.001346,4.2e-05,3
442890974,3.8719685,11.4977039,0.000229,0.017307,4.4e-05,3
442890975,3.8682086,11.4952223,0.000229,0.004727,4.3e-05,3
442890976,3.8676939,11.4955269,0.000229,0.004838,4.3e-05,3
442890977,3.8671286,11.4958987,0.000229,0.017987,4.3e-05,3
442890992,3.8650316,11.4965093,0.000229,0.017685,4.3e-05,3
442890994,3.8700564,11.4901543,0.000229,0.001672,4.3e-05,3
442890996,3.8940158,11.5081646,0.000229,0.030312,4.1e-05,3
442891001,3.8687812,11.4946537,0.000229,0.002571,4.3e-05,3
442891009,3.8913257,11.5056413,0.000229,0.000327,4e-05,3
442891017,3.8865837,11.5064199,0.000229,0.00052,4.2e-05,3
442891018,3.8864259,11.5063366,0.000229,0.008675,4.2e-05,3
443001338,3.870035,11.4984431,0.000305,0.020871,4.4e-05,4
443001356,3.8583988,11.5090879,7.6e-05,0.0,4.2e-05,1
443001360,3.8677658,11.5127432,0.000153,4.3e-05,4.6e-05,3
443001362,3.8679561,11.5134045,0.000229,0.000233,4.6e-05,3
444747360,3.8422831,11.4793116,0.000229,0.021037,3.9e-05,3
